Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2016-2017,Longest Unbeaten Streak,Buyuksehyr,17,4,Win,2.0,3
2016-2017,Longest Unbeaten Streak,Galatasaray,17,4,Win,2.0,3
2016-2017,Longest Unbeaten Streak,Fenerbahce,17,3,Win,2.0,2
2016-2017,Highest Loss %,Gaziantepspor,17,3,Win,2.0,2
2016-2017,Highest Loss %,Kayserispor,17,1,Win,2.0,1
2016-2017,Highest Loss %,Adanaspor,17,14,Win,145.0,377
2016-2017,Highest Win %,Buyuksehyr,17,4,Win,2.0,3
2016-2017,Highest Win %,Besiktas,17,7,Win,6.0,13
2016-2017,Highest Win %,Galatasaray,17,4,Win,2.0,3
2015-2016,Lowest Draw %,Bursaspor,17,3,Win,2.0,2
2015-2016,Lowest Draw %,Eskisehirspor,17,3,Win,2.0,2
2015-2016,Lowest Draw %,Buyuksehyr,17,2,Win,1.0,1
2015-2016,Longest Unbeaten Streak,Fenerbahce,17,5,Win,3.0,5
2015-2016,Longest Unbeaten Streak,Kasimpasa,17,2,Win,1.0,1
2015-2016,Longest Unbeaten Streak,Gaziantepspor,17,5,Win,3.0,5
2015-2016,Highest Loss %,Eskisehirspor,17,3,Win,2.0,2
2015-2016,Highest Loss %,Bursaspor,17,3,Win,2.0,2
2015-2016,Highest Loss %,Mersin Idman Yurdu,17,1,Win,2.0,1
2015-2016,Highest Win %,Besiktas,17,2,Win,1.0,1
2015-2016,Highest Win %,Fenerbahce,17,5,Win,3.0,5
2015-2016,Highest Win %,Buyuksehyr,17,2,Win,1.0,1
2014-2015,Lowest Draw %,Galatasaray,17,1,Win,2.0,1
2014-2015,Lowest Draw %,Besiktas,17,5,Win,3.0,5
2014-2015,Lowest Draw %,Karabukspor,17,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,Fenerbahce,17,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,Galatasaray,17,1,Win,2.0,1
2014-2015,Longest Unbeaten Streak,Bursaspor,17,1,Win,2.0,1
2014-2015,Highest Loss %,Balikesirspor,17,1,Win,2.0,1
2014-2015,Highest Loss %,Karabukspor,17,2,Win,1.0,1
2014-2015,Highest Loss %,Sivasspor,17,5,Win,3.0,5
2014-2015,Highest Win %,Besiktas,17,5,Win,3.0,5
2014-2015,Highest Win %,Galatasaray,17,1,Win,2.0,1
2014-2015,Highest Win %,Fenerbahce,17,2,Win,1.0,1
2013-2014,Lowest Draw %,Elazigspor,17,5,Win,3.0,5
2013-2014,Lowest Draw %,Fenerbahce,17,5,Win,3.0,5
2013-2014,Lowest Draw %,Konyaspor,17,5,Win,3.0,5
2013-2014,Longest Unbeaten Streak,Bursaspor,17,3,Win,2.0,2
2013-2014,Longest Unbeaten Streak,Galatasaray,17,1,Win,2.0,1
2013-2014,Longest Unbeaten Streak,Genclerbirligi,17,5,Win,3.0,5
2013-2014,Highest Loss %,Elazigspor,17,5,Win,3.0,5
2013-2014,Highest Loss %,Erciyesspor,17,3,Win,2.0,2
2013-2014,Highest Loss %,Rizespor,17,2,Win,1.0,1
2013-2014,Highest Win %,Fenerbahce,17,5,Win,3.0,5
2013-2014,Highest Win %,Sivasspor,17,4,Win,2.0,3
2013-2014,Highest Win %,Galatasaray,17,1,Win,2.0,1
2012-2013,Lowest Draw %,Karabukspor,17,3,Win,2.0,2
2012-2013,Lowest Draw %,Buyuksehyr,17,1,Win,2.0,1
2012-2013,Lowest Draw %,Antalyaspor,17,5,Win,3.0,5
2012-2013,Longest Unbeaten Streak,Besiktas,17,1,Win,2.0,1
2012-2013,Longest Unbeaten Streak,Bursaspor,17,3,Win,2.0,2
2012-2013,Longest Unbeaten Streak,Galatasaray,17,3,Win,2.0,2
2012-2013,Highest Loss %,Akhisar Belediyespor,17,1,Win,2.0,1
2012-2013,Highest Loss %,Buyuksehyr,17,1,Win,2.0,1
2012-2013,Highest Loss %,Mersin Idman Yurdu,17,1,Win,2.0,1
2012-2013,Highest Win %,Galatasaray,17,3,Win,2.0,2
2012-2013,Highest Win %,Antalyaspor,17,5,Win,3.0,5
2012-2013,Highest Win %,Besiktas,17,1,Win,2.0,1
2011-2012,Lowest Draw %,Kayserispor,17,3,Win,2.0,2
2011-2012,Lowest Draw %,Eskisehirspor,17,2,Win,1.0,1
2011-2012,Lowest Draw %,Karabukspor,17,8,Win,9.0,21
2011-2012,Longest Unbeaten Streak,Mersin Idman Yurdu,17,17,Loss,-4180.0,1597
2011-2012,Longest Unbeaten Streak,Galatasaray,17,4,Win,2.0,3
2011-2012,Longest Unbeaten Streak,Besiktas,17,2,Win,1.0,1
2011-2012,Highest Loss %,Ankaragucu,17,2,Win,1.0,1
2011-2012,Highest Loss %,Karabukspor,17,8,Win,9.0,21
2011-2012,Highest Loss %,Samsunspor,17,1,Win,2.0,1
2011-2012,Highest Win %,Galatasaray,17,4,Win,2.0,3
2011-2012,Highest Win %,Fenerbahce,17,1,Win,2.0,1
2011-2012,Highest Win %,Eskisehirspor,17,2,Win,1.0,1
2010-2011,Lowest Draw %,Manisaspor,17,8,Win,9.0,21
2010-2011,Lowest Draw %,Galatasaray,17,7,Win,6.0,13
2010-2011,Lowest Draw %,Buyuksehyr,17,5,Win,3.0,5
2010-2011,Longest Unbeaten Streak,Trabzonspor,17,1,Win,2.0,1
2010-2011,Longest Unbeaten Streak,Eskisehirspor,17,4,Win,2.0,3
2010-2011,Longest Unbeaten Streak,Ankaragucu,17,1,Win,2.0,1
2010-2011,Highest Loss %,Kasimpasa,17,12,Win,56.0,144
2010-2011,Highest Loss %,Bucaspor,17,14,Win,145.0,377
2010-2011,Highest Loss %,Konyaspor,17,1,Win,2.0,1
2010-2011,Highest Win %,Trabzonspor,17,1,Win,2.0,1
2010-2011,Highest Win %,Bursaspor,17,1,Win,2.0,1
2010-2011,Highest Win %,Fenerbahce,17,10,Win,22.0,55
2009-2010,Lowest Draw %,Fenerbahce,16,3,Win,2.0,2
