Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2020-2021,Longest Unbeaten Streak,Anderlecht,17,6,Win,4.0,8
2020-2021,Highest Loss %,Cercle Brugge,17,3,Win,2.0,2
2020-2021,Highest Loss %,Mouscron,17,5,Win,3.0,5
2020-2021,Highest Loss %,Waregem,17,9,Win,14.0,34
2020-2021,Highest Win %,Club Brugge,17,12,Win,56.0,144
2020-2021,Highest Win %,Genk,17,1,Win,2.0,1
2020-2021,Highest Win %,Charleroi,17,7,Win,6.0,13
2019-2020,Lowest Draw %,Cercle Brugge,14,2,Win,1.0,1
2019-2020,Lowest Draw %,Kortrijk,14,2,Win,1.0,1
2019-2020,Lowest Draw %,Oostende,14,1,Win,2.0,1
2019-2020,Longest Unbeaten Streak,Anderlecht,14,2,Win,1.0,1
2019-2020,Longest Unbeaten Streak,Charleroi,14,3,Win,2.0,2
2019-2020,Longest Unbeaten Streak,Gent,14,2,Win,1.0,1
2019-2020,Highest Loss %,Cercle Brugge,14,2,Win,1.0,1
2019-2020,Highest Loss %,Waasland-Beveren,14,2,Win,1.0,1
2019-2020,Highest Loss %,Oostende,14,1,Win,2.0,1
2019-2020,Highest Win %,Club Brugge,14,5,Win,3.0,5
2019-2020,Highest Win %,Standard,14,4,Win,2.0,3
2019-2020,Highest Win %,Gent,14,2,Win,1.0,1
2018-2019,Lowest Draw %,Eupen,15,11,Win,35.0,89
2018-2019,Lowest Draw %,Gent,15,1,Win,2.0,1
2018-2019,Lowest Draw %,Charleroi,15,3,Win,2.0,2
2018-2019,Longest Unbeaten Streak,Genk,15,3,Win,2.0,2
2018-2019,Longest Unbeaten Streak,Anderlecht,15,3,Win,2.0,2
2018-2019,Longest Unbeaten Streak,St Truiden,15,3,Win,2.0,2
2018-2019,Highest Loss %,Mouscron,15,3,Win,2.0,2
2018-2019,Highest Loss %,Lokeren,15,2,Win,1.0,1
2018-2019,Highest Loss %,Eupen,15,11,Win,35.0,89
2018-2019,Highest Win %,Genk,15,3,Win,2.0,2
2018-2019,Highest Win %,Anderlecht,15,3,Win,2.0,2
2018-2019,Highest Win %,Antwerp,15,1,Win,2.0,1
2017-2018,Lowest Draw %,Waregem,15,3,Win,2.0,2
2017-2018,Lowest Draw %,Club Brugge,15,2,Win,1.0,1
2017-2018,Lowest Draw %,Oostende,15,2,Win,1.0,1
2017-2018,Longest Unbeaten Streak,Genk,15,3,Win,2.0,2
2017-2018,Longest Unbeaten Streak,Anderlecht,15,8,Win,9.0,21
2017-2018,Longest Unbeaten Streak,Oostende,15,2,Win,1.0,1
2017-2018,Highest Loss %,Eupen,15,2,Win,1.0,1
2017-2018,Highest Loss %,Waregem,15,3,Win,2.0,2
2017-2018,Highest Loss %,Oostende,15,2,Win,1.0,1
2017-2018,Highest Win %,Club Brugge,15,2,Win,1.0,1
2017-2018,Highest Win %,Charleroi,15,2,Win,1.0,1
2017-2018,Highest Win %,Anderlecht,15,8,Win,9.0,21
2016-2017,Lowest Draw %,Mouscron,15,5,Win,3.0,5
2016-2017,Lowest Draw %,Club Brugge,15,3,Win,2.0,2
2016-2017,Lowest Draw %,Lokeren,15,3,Win,2.0,2
2016-2017,Longest Unbeaten Streak,Oostende,15,3,Win,2.0,2
2016-2017,Longest Unbeaten Streak,Kortrijk,15,14,Win,145.0,377
2016-2017,Longest Unbeaten Streak,Club Brugge,15,3,Win,2.0,2
2016-2017,Highest Loss %,Mouscron,15,5,Win,3.0,5
2016-2017,Highest Loss %,Westerlo,15,1,Win,2.0,1
2016-2017,Highest Loss %,Lokeren,15,3,Win,2.0,2
2016-2017,Highest Win %,Waregem,15,2,Win,1.0,1
2016-2017,Highest Win %,Club Brugge,15,3,Win,2.0,2
2016-2017,Highest Win %,Oostende,15,3,Win,2.0,2
2015-2016,Lowest Draw %,Club Brugge,15,15,Loss,-1596.0,610
2015-2016,Lowest Draw %,Genk,15,3,Win,2.0,2
2015-2016,Lowest Draw %,Standard,15,1,Win,2.0,1
2015-2016,Longest Unbeaten Streak,Oostende,15,4,Win,2.0,3
2015-2016,Longest Unbeaten Streak,Waregem,15,3,Win,2.0,2
2015-2016,Longest Unbeaten Streak,Kortrijk,15,1,Win,2.0,1
2015-2016,Highest Loss %,Oud-Heverlee Leuven,15,6,Win,4.0,8
2015-2016,Highest Loss %,Standard,15,1,Win,2.0,1
2015-2016,Highest Loss %,Mechelen,15,4,Win,2.0,3
2015-2016,Highest Win %,Club Brugge,15,15,Loss,-1596.0,610
2015-2016,Highest Win %,Oostende,15,4,Win,2.0,3
2015-2016,Highest Win %,Gent,15,3,Win,2.0,2
2014-2015,Lowest Draw %,Kortrijk,15,8,Win,9.0,21
2014-2015,Lowest Draw %,Waasland-Beveren,15,8,Win,9.0,21
2014-2015,Lowest Draw %,Lierse,15,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,Club Brugge,15,2,Win,1.0,1
2014-2015,Longest Unbeaten Streak,Standard,15,7,Win,6.0,13
2014-2015,Longest Unbeaten Streak,Lokeren,15,1,Win,2.0,1
2014-2015,Highest Loss %,Waasland-Beveren,15,8,Win,9.0,21
2014-2015,Highest Loss %,Lierse,15,2,Win,1.0,1
2014-2015,Highest Loss %,Cercle Brugge,15,3,Win,2.0,2
